Ranking,Membership Number,User Name,Win Points,OMW %,OOMW %,Memo,Deck URLs
1,0000453763,Iclaf,12,52.1%,63.0%,undefined,
2,0000110798,Blund,9,62.5%,57.3%,undefined,
3,0000475097,Dige,9,52.1%,52.6%,undefined,
4,0000207592,Matteviga,9,47.9%,57.8%,undefined,
5,0000203688,Lorbag99,6,75%,52.6%,undefined,
6,0000455271,Naffy,6,60.4%,52.1%,undefined,
7,0000166660,Mellow,6,54.2%,54.2%,undefined,
8,0000118859,Fidio,6,47.9%,60.4%,undefined,
9,0000134640,Commo,3,52.1%,52.6%,undefined,
10,0000448187,Gallo,3,52.1%,51.0%,undefined,
11,0000127213,sArnautovic,3,47.9%,53.1%,undefined,
12,0000561448,Catta,0,54.2%,51.6%,undefined,
